id,section_id,paragraph_number,content,createdAt,updatedAt,evidence_strength,annexures
1,1,7.1,"I deny the Applicant's claim that his accountant, Mr. Danie Bantjies, attended the office in mid-June 2025 for provisional tax and VAT submissions. The Second Respondent provided comprehensive reports to Mr. Bantjies on **6 June 2025**, exposing the fraud involving Villa Via Arcadia No 2 CC's excessive profit extraction (86% margin on rent). Mr. Bantjies is the third trustee of the Faucitt Family Trust, a fact concealed from the beneficiaries, and owes the Applicant R18.685 million (Annexure **SF1**).",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
2,1,7.2,"The Applicant's claim that Mr. Bantjies ""noted discrepancies"" in July 2025 is a misrepresentation. The discrepancies were reported **to** Mr. Bantjies by the Second Respondent on 6 June 2025. The very next day, **7 June 2025**, the Applicant cancelled 15 business credit cards (Annexure **DF4**), demonstrating consciousness of guilt and retaliation for the exposure of fraud.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
3,1,7.3,"The Applicant mischaracterizes legitimate IT expenses as ""irregular payments."" These expenses relate to the 51 Shopify stores and associated software infrastructure required to generate **R34.9 million** in annual revenue. The true irregularities are: (1) R5.4 million stock adjustment in Strategic Logistics CC (46% of annual sales); (2) R900,000 unauthorized transfers from RegimA SA; (3) Villa Via's 86% profit margin on rent.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
4,1,7.4,"The Applicant's characterization of the Second Respondent's conduct as ""increasingly erratic"" is unfounded and defamatory. The Second Respondent was managing a profitable global e-commerce operation generating R34.9 million annually. His conduct was professional and transparent, as evidenced by his provision of comprehensive reports to Mr. Bantjies on 6 June 2025.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
5,1,7.5.1,"The Applicant's claim that payments ""could not be explained"" is false. The Second Respondent provided comprehensive reports on 6 June 2025, including detailed financial analysis and evidence of fraud.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
6,1,7.5.2,"The Applicant cancelled 15 business credit cards on **7 June 2025**, one day after receiving the Second Respondent's reports. This timing demonstrates a manufactured crisis and application of the doctrine of *venire contra factum proprium* (estoppel). The Applicant cannot complain of a situation he deliberately created.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
7,1,7.5.3,"The Applicant cancelled his own card ""for the sake thereof,"" suggesting awareness that the card cancellations were punitive rather than protective.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
8,1,7.6,"The Applicant's claim that ""the majority of the transactions remain unexplained"" is contradicted by the comprehensive reports provided on 6 June 2025. The Applicant's refusal to accept these explanations was part of the retaliation strategy.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
9,1,7.7,"I confirm that the Applicant's card cancellations on 7 June 2025 caused service interruptions, including the halting of internet domains and essential business subscriptions. This was the direct and foreseeable consequence of the Applicant's own actions.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
10,1,7.8,"The Applicant's allegation that the Second Respondent ""adopted a 'superior' position and effectively refused to assist"" is false. The Second Respondent had already provided comprehensive assistance on 6 June 2025. The Applicant's characterization is an attempt to justify his retaliatory conduct.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
11,1,7.9,The inter-office communications referenced by the Applicant (Annexure PF7) demonstrate the Second Respondent's professionalism and the Applicant's unreasonable demands following the card cancellations.,2025-11-02 15:04:35,2025-11-02 15:04:35,5,
12,1,7.10,"The Applicant's communications were with the Second Respondent's personal assistant because the Applicant had already cancelled the business credit cards, creating a crisis that required immediate attention.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
13,1,7.11,"The Applicant's claim that the Second Respondent ""would or could not provide relevant invoices"" is contradicted by the comprehensive reports provided on 6 June 2025, which included detailed financial documentation.",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
14,1,7.12,"The Applicant's allegation that the Second Respondent ""interfered with the corporations' staff doing their jobs"" is an inversion of the facts. The interference came from the Applicant and his agents, who:
- Cancelled 15 business credit cards (7 June 2025)
- Revoked the Second Respondent's email access (retaliation for reporting fraud)
- Diverted company revenue to competing entities owned by Ms. Farrar's son
- Expunged Shopify audit data (22 May 2025)",2025-11-02 15:04:35,2025-11-02 15:04:35,5,
